country,sr,pop15,ddpi
Australia,11.43,29.35,2.87
Austria,12.07,23.32,3.93
Belgium,13.17,23.8,3.82
Bolivia,5.75,41.89,0.22
Brazil,12.88,42.19,4.56
Canada,8.79,31.72,2.43
Chile,0.6,39.74,2.67
China,11.9,44.75,6.51
Colombia,4.98,46.64,3.08
Costa Rica,10.78,47.64,2.8
Denmark,16.85,24.42,3.99
Ecuador,3.59,46.31,2.19
Finland,11.24,27.84,4.32
France,12.64,25.06,4.52
Germany,12.55,23.31,3.44
Greece,10.67,25.62,6.28
Guatamala,3.01,46.05,1.48
Honduras,7.7,47.32,3.19
Iceland,1.27,34.03,1.12
India,9,41.31,1.54
Ireland,11.34,31.16,2.99
Italy,14.28,24.52,3.54
Japan,21.1,27.01,8.21
Korea,3.98,41.74,5.81
Luxembourg,10.35,21.8,1.57
Malta,15.48,32.54,8.12
Norway,10.25,25.95,3.62
Netherlands,14.65,24.71,7.66
New Zealand,10.67,32.61,1.76
Nicaragua,7.3,45.04,2.48
Panama,4.44,43.56,3.61
Paraguay,2.02,41.18,1.03
Peru,12.7,44.19,0.67
Philippines,12.78,46.26,2
Portugal,12.49,28.96,7.48
South Africa,11.14,31.94,2.19
South Rhodesia,13.3,31.92,2
Spain,11.77,27.74,4.35
Sweden,6.86,21.44,3.01
Switzerland,14.13,23.49,2.7
Turkey,5.13,43.42,2.96
Tunisia,2.81,46.12,1.13
United Kingdom,7.81,23.27,2.01
United States,7.56,29.81,2.45
Venezuela,9.22,46.4,0.53
Zambia,18.56,45.25,5.14
Jamaica,7.72,41.12,10.23
Uruguay,9.24,28.13,1.88
Libya,8.89,43.69,16.71
Malaysia,4.71,47.2,5.08
